PARTICIPANT,CLASS,GENE1,GENE2,GENE3,GENE4
5732,Tumoral (01A),9.2311,6.8917,1.9541,27.0370
5798,Tumoral (01A),1.8379,5.0100,1.4122,7.6042
6520,Tumoral (01A),8.9271,9.4851,1.1740,2.9214
6818,Tumoral (01A),5.5119,7.9811,0.9277,8.0216
7136,Tumoral (01A),9.6270,12.5298,2.3476,15.0267
7716,Normal (11A),1.7090,6.0622,1.9280,10.6550
7851,Normal (11A),13.8116,5.8997,1.5596,278.1050
7851,Tumoral (01A),2.2623,7.1055,2.2108,94.9762
7958,Tumoral (01A),0.2721,7.4983,1.8444,0.6933
8210,Tumoral (01A),1.1194,8.8762,2.6206,4.9214
8364,Tumoral (01A),1.2662,8.0197,2.7439,3.0026
8371,Tumoral (01A),0.3478,8.2964,1.8222,0.5725
8382,Tumoral (01A),1.5904,5.5137,2.3771,24.3408
8485,Tumoral (01A),7.4495,8.3396,3.1840,6.5337
8526,Tumoral (01A),6.3980,14.2677,2.7378,0.0903
8573,Tumoral (01A),0.0848,9.0164,2.1540,2.7008
8591,Tumoral (01A),4.4523,6.5809,2.6747,12.8480
8687,Tumoral (01A),2.8003,6.2071,2.2472,0.3542
A4GY,Tumoral (01A),0.7097,10.5095,4.8204,2.5691
A4J8,Tumoral (01A),2.8508,8.9279,3.5276,0.9961
4280,Tumoral (01A),13.4800,8.1496,2.3055,83.9921
5719,Tumoral (01A),3.4483,6.5109,2.1875,6.1856
5720,Normal (11A),11.0369,5.2332,0.8242,76.0930
5728,Normal (11A),0.9017,4.7942,1.0851,3.2515
6453,Normal (11A),11.4756,4.9986,0.8851,131.7255
6457,Normal (11A),11.6088,4.5104,0.5747,159.4763
6518,Tumoral (01A),0.9951,5.3209,1.4760,13.1638
6525,Tumoral (01A),7.0094,6.8158,1.7037,0.7024
6709,Tumoral (01A),0.0353,6.2437,1.4311,0.1248
6802,Normal (11A),5.3755,2.0780,2.6223,11.0716
6815,Tumoral (01A),5.6249,7.5835,1.5013,21.7114
6822,Tumoral (01A),15.0832,15.1194,1.8604,0.7143
7133,Tumoral (01A),0.9038,9.9443,3.1859,0.3463
7704,Normal (11A),1.8043,8.4813,1.0773,18.7716
7717,Tumoral (01A),7.3335,5.2710,1.7429,4.3681
7735,Tumoral (01A),12.0158,7.8592,2.3731,0.2021
7829,Normal (11A),0.0247,7.2324,1.0937,0.0040
8244,Tumoral (01A),10.8094,12.4943,3.2654,50.6148
8291,Tumoral (01A),7.1261,7.3731,2.7754,2.8628
8369,Tumoral (01A),1.0801,10.1420,2.8236,0.8795
8462,Normal (11A),0.0941,6.3527,0.6903,0.1114
8534,Tumoral (01A),2.2359,9.6023,3.3867,19.3607
8570,Tumoral (01A),0.0160,8.2140,2.7366,0.4480
8578,Tumoral (01A),4.9526,7.3655,2.4168,21.8615
8589,Tumoral (01A),0.0088,7.4952,3.2840,0.3324
